_date,total_clones,unique_clones
2021-10-28,8,1
2021-10-29,47,1
2021-10-30,47,1
2021-10-31,42,1
2021-11-01,47,1
2021-11-02,47,1
2021-11-03,47,1
2021-11-04,47,1
2021-11-05,47,1
2021-11-06,47,1
2021-11-07,43,2
2021-11-08,47,1
2021-11-09,47,1
2021-11-10,47,1
2021-11-11,44,4
2021-11-14,3,2
2021-11-15,1,1
2021-11-21,3,1
2021-11-28,4,2
2021-12-05,5,3
2021-12-06,1,1
2021-12-12,3,1
2021-12-19,3,1
2021-12-22,3,3
2021-12-23,1,1
2021-12-26,6,4
2022-01-01,2,1
2022-01-02,3,1
2022-01-09,4,2
2022-01-16,4,2
2022-01-23,5,3
2022-01-27,1,1
2022-01-30,4,2
2022-02-06,4,2
2022-02-13,5,3
2022-02-20,3,1
2022-02-27,4,2
2022-03-06,3,1
2022-03-13,3,1
2022-03-20,5,3
2022-03-23,2,1
2022-03-27,5,3
2022-04-03,3,1
2022-04-10,3,1
2022-04-17,3,1
2022-04-24,3,1
2022-05-01,3,1
2022-05-04,3,2
2022-05-08,1,1
2022-05-15,4,2
2022-05-22,6,4
2022-05-29,4,2
2022-06-05,4,2
2022-06-10,1,1
2022-06-12,5,3
2022-06-19,5,3
2022-06-21,2,1
2022-06-26,6,4
2022-07-03,4,2
2022-07-08,1,1
2022-07-10,6,3
2022-07-15,2,1
2022-07-17,3,1
2022-07-23,1,1
2022-07-24,3,2
2022-07-31,1,1
2022-08-01,2,2
2022-08-02,2,1
2022-08-07,3,1
2022-08-11,2,1
2022-08-14,5,3
2022-08-21,2,1
2022-08-28,3,1
2022-09-02,2,1
2022-09-04,4,2
2022-09-11,3,1
2022-09-13,1,1
2022-09-15,2,1
2022-09-18,1,1
2022-09-24,2,1
2022-09-25,3,3
2022-10-02,3,1
2022-10-05,1,1
2022-10-07,2,1
2022-10-09,3,2
2022-10-11,1,1
2022-10-14,1,1
2022-10-16,3,1
2022-10-17,1,1
2022-10-21,1,1
2022-10-23,4,2
2022-10-25,1,1
2022-10-29,1,1
2022-10-30,3,1
2022-11-02,1,1
2022-11-03,1,1
2022-11-05,1,1
2022-11-06,3,2
2022-11-07,2,2
2022-11-11,1,1
2022-11-12,1,1
2022-11-13,1,1
2022-11-14,1,1
2022-11-19,1,1
2022-11-20,1,1
2022-11-21,1,1
2022-11-26,1,1
2022-11-27,4,2
2022-12-01,1,1
2022-12-03,1,1
2022-12-04,1,1
2022-12-05,1,1
2022-12-06,1,1
2022-12-07,2,1
2022-12-10,1,1
2022-12-11,4,2
2022-12-12,3,2
2022-12-13,1,1
2022-12-17,1,1
2022-12-18,4,2
2022-12-21,1,1
2022-12-25,4,2
2022-12-31,1,1
2023-01-01,3,1
2023-01-02,1,1
2023-01-03,4,2
2023-01-04,1,1
2023-01-08,3,1
2023-01-09,2,2
2023-01-15,1,1
2023-01-16,1,1
2023-01-22,2,2
2023-01-23,1,1
2023-01-29,3,1
2023-01-30,2,2
2023-02-05,5,2
2023-02-06,1,1
2023-02-12,1,1
2023-02-13,1,1
2023-02-14,1,1
2023-02-19,3,1
2023-02-20,1,1
2023-02-22,1,1
2023-02-23,1,1
2023-02-26,3,1
2023-03-02,4,3
2023-03-05,4,2
2023-03-06,1,1
2023-03-08,2,1
2023-03-10,1,1
2023-03-11,1,1
